id;number_ticket;number_one;number_two;image_qr;;
1;000D;8643;6431;;;000D-8643-6431
2;000F;2666;7083;;;000F-2666-7083
3;000O;0335;4357;;;000O-0335-4357
4;000U;2267;7773;;;000U-2267-7773
5;001B;8264;4939;;;001B-8264-4939
6;001U;4572;7725;;;001U-4572-7725
7;001W;0262;6122;;;001W-0262-6122
8;001X;9711;7362;;;001X-9711-7362
9;001Z;2685;6855;;;001Z-2685-6855
10;002B;8672;8729;;;002B-8672-8729
11;002C;9874;6744;;;002C-9874-6744
12;002G;2241;3311;;;002G-2241-3311
13;002K;2851;9733;;;002K-2851-9733
14;002R;6919;9196;;;002R-6919-9196
15;002S;8543;5433;;;002S-8543-5433
16;002W;9497;9573;;;002W-9497-9573
17;003F;3465;4659;;;003F-3465-4659
18;003M;7679;6797;;;003M-7679-6797
19;003V;8012;4828;;;003V-8012-4828
20;004C;2004;7046;;;004C-2004-7046
21;004H;2071;7718;;;004H-2071-7718
22;004I;3053;4938;;;004I-3053-4938
23;004N;2065;7658;;;004N-2065-7658
24;004S;1913;3396;;;004S-1913-3396
25;004X;8539;6496;;;004X-8539-6496
26;005C;8523;5231;;;005C-8523-5231
27;005O;1469;4697;;;005O-1469-4697
28;005S;1187;3679;;;005S-1187-3679
29;005Y;1426;4268;;;005Y-1426-4268
30;006D;2160;3594;;;006D-2160-3594
31;006E;1012;9120;;;006E-1012-9120
32;006G;6627;7029;;;006G-6627-7029
33;006O;2344;3926;;;006O-2344-3926
34;006Q;3409;4094;;;006Q-3409-4094
35;006X;2483;7738;;;006X-2483-7738
36;006Y;1084;7846;;;006Y-1084-7846
37;006Z;4458;3585;;;006Z-4458-3585
38;007B;6287;3773;;;007B-6287-3773
39;007F;6542;5429;;;007F-6542-5429
40;007M;4049;5494;;;007M-4049-5494
41;007O;0248;5481;;;007O-0248-5481
42;007Q;7534;5348;;;007Q-7534-5348
43;008B;4496;3967;;;008B-4496-3967
44;008H;8899;8994;;;008H-8899-8994
45;008P;8354;4591;;;008P-8354-4591
46;008Y;8763;8731;;;008Y-8763-8731
47;009C;0498;9582;;;009C-0498-9582
48;009D;1228;3810;;;009D-1228-3810
49;009F;9099;3334;;;009F-9099-3334
50;009J;2142;3144;;;009J-2142-3144
51;009W;2398;9584;;;009W-2398-9584
52;009X;0830;6304;;;009X-0830-6304
53;010C;8589;6239;;;010C-8589-6239
54;010E;8838;8381;;;010E-8838-8381
55;010M;0565;5577;;;010M-0565-5577
56;010S;8649;6491;;;010S-8649-6491
57;010Y;2912;9127;;;010Y-2912-9127
58;011B;0602;5104;;;011B-0602-5104
59;011F;0985;6355;;;011F-0985-6355
60;011G;2000;7007;;;011G-2000-7007
61;011N;0350;4507;;;011N-0350-4507
62;011S;2455;7753;;;011S-2455-7753
63;011T;1484;4847;;;011T-1484-4847
64;012A;0954;3740;;;012A-0954-3740
65;012Q;7165;4570;;;012Q-7165-4570
