id;first_name;last_name;id_number;email;phone_number;address;validate_ticket;pack;created_at;pay_money;salesperson;gender
1;;;;;;;000D-8643-6431;1;2024-07-17 21:27:00;;;
2;;;;;;;000F-2666-7083;1;;;;
3;;;;;;;000O-0335-4357;1;;;;
4;;;;;;;000U-2267-7773;1;;;;
5;;;;;;;001B-8264-4939;1;;;;
6;;;;;;;001U-4572-7725;1;;;;
7;;;;;;;001W-0262-6122;1;;;;
8;;;;;;;001X-9711-7362;1;;;;
9;;;;;;;001Z-2685-6855;1;;;;
10;;;;;;;002B-8672-8729;1;;;;
11;;;;;;;002C-9874-6744;1;;;;
12;;;;;;;002G-2241-3311;1;;;;
13;;;;;;;002K-2851-9733;1;;;;
14;;;;;;;002R-6919-9196;1;;;;
15;;;;;;;002S-8543-5433;1;;;;
16;;;;;;;002W-9497-9573;1;;;;
17;;;;;;;003F-3465-4659;1;;;;
18;;;;;;;003M-7679-6797;1;;;;
19;;;;;;;003V-8012-4828;1;;;;
20;;;;;;;004C-2004-7046;1;;;;
21;;;;;;;004H-2071-7718;1;;;;
22;;;;;;;004I-3053-4938;1;;;;
23;;;;;;;004N-2065-7658;1;;;;
24;;;;;;;004S-1913-3396;1;;;;
25;;;;;;;004X-8539-6496;1;;;;
26;;;;;;;005C-8523-5231;1;;;;
27;;;;;;;005O-1469-4697;1;;;;
28;;;;;;;005S-1187-3679;1;;;;
29;;;;;;;005Y-1426-4268;1;;;;
30;;;;;;;006D-2160-3594;1;;;;
31;;;;;;;006E-1012-9120;1;;;;
32;;;;;;;006G-6627-7029;1;;;;
33;;;;;;;006O-2344-3926;1;;;;
34;;;;;;;006Q-3409-4094;1;;;;
35;;;;;;;006X-2483-7738;1;;;;
36;;;;;;;006Y-1084-7846;1;;;;
37;;;;;;;006Z-4458-3585;1;;;;
38;;;;;;;007B-6287-3773;1;;;;
39;;;;;;;007F-6542-5429;1;;;;
40;;;;;;;007M-4049-5494;1;;;;
41;;;;;;;007O-0248-5481;1;;;;
42;;;;;;;007Q-7534-5348;1;;;;
43;;;;;;;008B-4496-3967;1;;;;
44;;;;;;;008H-8899-8994;1;;;;
45;;;;;;;008P-8354-4591;1;;;;
46;;;;;;;008Y-8763-8731;1;;;;
47;;;;;;;009C-0498-9582;1;;;;
48;;;;;;;009D-1228-3810;1;;;;
49;;;;;;;009F-9099-3334;1;;;;
50;;;;;;;009J-2142-3144;1;;;;
51;;;;;;;009W-2398-9584;1;;;;
52;;;;;;;009X-0830-6304;1;;;;
53;;;;;;;010C-8589-6239;1;;;;
54;;;;;;;010E-8838-8381;1;;;;
55;;;;;;;010M-0565-5577;1;;;;
56;;;;;;;010S-8649-6491;1;;;;
57;;;;;;;010Y-2912-9127;1;;;;
58;;;;;;;011B-0602-5104;1;;;;
59;;;;;;;011F-0985-6355;1;;;;
60;;;;;;;011G-2000-7007;1;;;;
61;;;;;;;011N-0350-4507;1;;;;
62;;;;;;;011S-2455-7753;1;;;;
63;;;;;;;011T-1484-4847;1;;;;
64;;;;;;;012A-0954-3740;1;;;;
65;;;;;;;012Q-7165-4570;1;;;;
66;;;;;;;012Y-8143-4216;1;;;;
67;;;;;;;013D-0439-9927;1;;;;
68;;;;;;;013I-0630-5802;1;;;;
69;;;;;;;013R-8791-8383;1;;;;
70;;;;;;;013T-2526-5265;1;;;;
71;;;;;;;013V-8171-4219;1;;;;
72;;;;;;;014H-2997-5979;1;;;;
73;;;;;;;014Q-8485-4854;1;;;;
74;;;;;;;014U-0079-5792;1;;;;
75;;;;;;;014Z-7578-5786;1;;;;
76;;;;;;;015A-0973-6535;1;;;;
77;;;;;;;015J-0960-3992;1;;;;
78;;;;;;;015N-9709-7827;1;;;;
79;;;;;;;015Q-6525-5255;1;;;;
80;;;;;;;015R-2015-9153;1;;;;
81;;;;;;;015T-0640-6403;1;;;;
82;;;;;;;016B-9528-5081;1;;;;
83;;;;;;;016P-3061-4112;1;;;;
84;;;;;;;016T-1833-8336;1;;;;
85;;;;;;;016V-0899-6994;1;;;;
86;;;;;;;016Y-2659-7601;1;;;;
87;;;;;;;017C-2946-3361;1;;;;
88;;;;;;;017F-0646-6463;1;;;;
89;;;;;;;017I-6643-6436;1;;;;
90;;;;;;;017O-1512-9126;1;;;;
91;;;;;;;017U-9811-6114;1;;;;
92;;;;;;;017X-7587-5876;1;;;;
93;;;;;;;018B-0822-9470;1;;;;
94;;;;;;;018D-1008-3809;1;;;;
95;;;;;;;018E-8379-4291;1;;;;
96;;;;;;;018J-1254-3742;1;;;;
97;;;;;;;018M-1243-9436;1;;;;
98;;;;;;;018N-9215-9154;1;;;;
99;;;;;;;018U-6966-9665;1;;;;
100;;;;;;;019D-2227-3851;1;;;;
101;;;;;;;019F-2013-3317;1;;;;
102;;;;;;;019Q-2356-3557;1;;;;
103;;;;;;;020C-3017-4368;1;;;;
104;;;;;;;020E-2571-5715;1;;;;
105;;;;;;;020T-6515-5159;1;;;;
106;;;;;;;021G-7039-6490;1;;;;
107;;;;;;;021L-9437-9963;1;;;;
108;;;;;;;021N-8903-4895;1;;;;
109;;;;;;;021R-9053-3934;1;;;;
110;;;;;;;021T-0745-8455;1;;;;
111;;;;;;;021V-3713-8390;1;;;;
112;;;;;;;021W-7669-5890;1;;;;
113;;;;;;;022C-0671-5442;1;;;;
114;;;;;;;022J-6265-3974;1;;;;
115;;;;;;;022M-9587-5673;1;;;;
116;;;;;;;022Z-8880-8801;1;;;;
117;;;;;;;023A-0036-5360;1;;;;
118;;;;;;;023B-0208-6812;1;;;;
119;;;;;;;023C-2310-1809;1;;;;
120;;;;;;;023J-0308-1161;1;;;;
121;;;;;;;023K-0124-1820;1;;;;
122;;;;;;;023Q-2796-7316;1;;;;
123;;;;;;;023Z-2871-6712;1;;;;
124;;;;;;;024B-3285-6272;1;;;;
125;;;;;;;024C-1127-3079;1;;;;
126;;;;;;;024S-2295-7374;1;;;;
127;;;;;;;024U-2881-6810;1;;;;
128;;;;;;;024V-3338-4188;1;;;;
129;;;;;;;025C-0812-9828;1;;;;
130;;;;;;;025J-8037-5371;1;;;;
131;;;;;;;025N-4421-3217;1;;;;
132;;;;;;;025P-3717-8870;1;;;;
133;;;;;;;025T-0504-5614;1;;;;
134;;;;;;;025X-2699-6997;1;;;;
135;;;;;;;025Y-6538-5386;1;;;;
136;;;;;;;025Z-8692-5490;1;;;;
137;;;;;;;026A-2910-9105;1;;;;
138;;;;;;;026F-0818-9888;1;;;;
139;;;;;;;026N-4336-4167;1;;;;
140;;;;;;;026Q-0793-8935;1;;;;
141;;;;;;;027C-7207-8856;1;;;;
142;;;;;;;027E-6677-6779;1;;;;
143;;;;;;;027G-8590-6065;1;;;;
144;;;;;;;027M-0162-7070;1;;;;
145;;;;;;;027O-8498-4983;1;;;;
146;;;;;;;027Q-6235-3854;1;;;;
147;;;;;;;027X-2309-1853;1;;;;
148;;;;;;;027Y-2303-1899;1;;;;
149;;;;;;;028F-0622-5222;1;;;;
150;;;;;;;028H-8521-5716;1;;;;
151;;;;;;;028I-8094-6019;2;;;;
152;;;;;;;028O-9459-1743;2;;;;
153;;;;;;;028R-4297-6657;2;;;;
154;;;;;;;028T-0975-3452;2;;;;
155;;;;;;;028Y-9413-1391;2;;;;
156;;;;;;;029A-6669-7043;2;;;;
157;;;;;;;029M-8674-8746;2;;;;
158;;;;;;;029W-2219-7353;2;;;;
159;;;;;;;029Y-3347-4968;2;;;;
160;;;;;;;030Q-1549-5498;2;;;;
161;;;;;;;030S-2603-7233;2;;;;
162;;;;;;;030U-2205-3954;2;;;;
163;;;;;;;030V-9029-7294;2;;;;
164;;;;;;;031F-7668-5886;2;;;;
165;;;;;;;031J-1244-9449;2;;;;
166;;;;;;;031X-0753-6936;2;;;;
167;;;;;;;031Y-1410-4106;2;;;;
168;;;;;;;032B-8030-6409;2;;;;
169;;;;;;;032I-0570-5701;2;;;;
170;;;;;;;032M-8101-4230;2;;;;
171;;;;;;;032Z-6610-7304;2;;;;
172;;;;;;;033A-2480-9082;2;;;;
173;;;;;;;033F-9045-7452;2;;;;
174;;;;;;;033G-7518-5186;2;;;;
175;;;;;;;033J-4043-5434;2;;;;
176;;;;;;;033K-3328-4082;2;;;;
177;;;;;;;033L-6105-3254;2;;;;
178;;;;;;;033R-2555-5557;2;;;;
179;;;;;;;034E-7667-5871;2;;;;
180;;;;;;;034P-7921-9218;2;;;;
181;;;;;;;034Q-1646-6467;2;;;;
182;;;;;;;034R-9474-9513;2;;;;
183;;;;;;;034Z-3270-6500;2;;;;
184;;;;;;;035A-2692-7494;2;;;;
185;;;;;;;035E-0407-1864;2;;;;
186;;;;;;;035P-0597-5971;2;;;;
187;;;;;;;035R-1028-3989;2;;;;
188;;;;;;;035U-2815-9853;2;;;;
189;;;;;;;035W-1199-3591;2;;;;
190;;;;;;;035Y-7156-4551;2;;;;
191;;;;;;;036I-8631-8315;2;;;;
192;;;;;;;036P-0740-5407;2;;;;
193;;;;;;;036S-6223-7934;2;;;;
194;;;;;;;037A-8075-5758;2;;;;
195;;;;;;;037D-8172-4222;2;;;;
196;;;;;;;037F-0585-5851;2;;;;
197;;;;;;;037O-2011-9114;2;;;;
198;;;;;;;037P-4040-5404;2;;;;
199;;;;;;;037S-8634-6341;2;;;;
200;;;;;;;037W-2263-3984;2;;;;
201;;;;;;;038C-2322-1479;2;;;;
202;;;;;;;038E-8531-6419;2;;;;
203;;;;;;;038G-3473-4733;2;;;;
204;;;;;;;038L-4571-7717;2;;;;
205;;;;;;;038N-8572-5724;2;;;;
206;;;;;;;038Q-2030-9303;2;;;;
207;;;;;;;038V-0911-6045;2;;;;
208;;;;;;;039A-8029-5293;2;;;;
209;;;;;;;039B-4469-3697;2;;;;
210;;;;;;;039G-3388-4682;2;;;;
211;;;;;;;039P-6607-7274;2;;;;
212;;;;;;;039W-8045-5458;2;;;;
213;;;;;;;040E-0345-1356;2;;;;
214;;;;;;;040H-2307-3626;2;;;;
215;;;;;;;040L-0242-5421;2;;;;
216;;;;;;;040T-1909-3820;2;;;;
217;;;;;;;041D-8552-5523;2;;;;
218;;;;;;;041R-9467-1773;2;;;;
219;;;;;;;041T-0548-5488;2;;;;
220;;;;;;;041V-3298-6632;2;;;;
221;;;;;;;041W-1233-9335;2;;;;
222;;;;;;;041X-1652-6527;2;;;;
223;;;;;;;041Y-0867-3542;2;;;;
224;;;;;;;042D-2176-1765;2;;;;
225;;;;;;;042F-7695-5470;2;;;;
226;;;;;;;042J-2650-5700;2;;;;
227;;;;;;;042L-1762-7126;2;;;;
228;;;;;;;042V-8508-5285;2;;;;
